Depth,Target,SmallCheck,Lazy-SmallCheck
2,1.9130189418792725,8.399486541748047e-4,8.511543273925781e-5
3,1.4303641319274902,7.546901702880859e-3,1.3208389282226563e-4
4,2.9296300411224365,0.10245680809020996,3.211498260498047e-4
5,4.855181932449341,5.352395057678223,9.93967056274414e-4
6,4.580896854400635,1225.9435749053955,3.0689239501953125e-3
7,6.292733907699585,nan,1.1455059051513672e-2
8,6.703655958175659,nan,3.216099739074707e-2
9,6.886783123016357,nan,8.963584899902344e-2
10,6.596043109893799,nan,0.3231170177459717
11,6.109251022338867,nan,1.3194670677185059
12,6.504522085189819,nan,3.109776020050049
13,5.364881992340088,nan,8.901938199996948
14,7.0756378173828125,nan,25.76787495613098
15,5.268036842346191,nan,73.70858192443848
16,7.03866982460022,nan,231.28094005584717
17,5.683062791824341,nan,648.2344748973846
18,8.297897100448608,nan,2545.3057959079742
19,7.525595188140869,nan,nan
20,8.62657904624939,nan,nan
